Numeración;Ciudad;Empresa Solicitante;Area;Nestudios;Formación;Especialización;Maestría;Doctorado;Posgrado;Experiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Sintervalo;Idiomas;Salario;Vacantes;Sector de la vacante
412;Medellin;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;1.5 a 2millones;Otro;1;1;Servicios
413;Bucaramanga;Empresa confidencial;Analista;1;Técnica;0;0;0;0;2;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Financiero
414;Bucaramanga;Empresa confidencial;Recursos Humanos y Admin de Personal;2;Universitaria;1;0;0;1;3;0;0;0;0;0;0;Salario a convenir;Otro;0;1;Servicios
415;Bucaramanga;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Servicios
416;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;2 a 2.5millones;Otro;2;1;Financiero
417;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;0;0;0;0;0;0;1;1 a 1.5millones;Otro;1;1;Financiero
418;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;2;0;0;0;0;1;1;3 a 3.5 millones;Otro;2;1;Vehículos y partes
419;Bogota;Empresa confidencial;Recursos Humanos y Admin de Personal;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;2 a 2.5millones;Otro;2;1;Salud
420;Bogota;Empresa confidencial;Tecnologia;2;Universitaria;0;0;0;0;3;1;0;0;1;1;1;6 a 8 millones;Otro;3;1;Servicios
421;Medellin;OneLink;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;0;0;0;0;0;0;0;Salario a convenir;Otro;0;1;Servicios
422;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;5;0;0;0;0;0;1;3 a 3.5 millones;Otro;2;1;Financiero
423;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;1;0;0;1;6;0;0;0;0;0;1;5.5 a 6 millones;Otro;2;1;Educativo
424;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;2 a 2.5millones;Otro;2;1;Financiero
425;Bucaramanga;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;2;0;0;0;0;0;0;Salario a convenir;Otro;0;1;Financiero
426;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;1;0;0;1;2.5 a 3 millones;Otro;2;1;Consultorías
427;Bucaramanga;Crezcamos;Analista;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Financiero
428;Medellin;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;3 a 3.5 millones;Otro;2;1;Construccion
429;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;5;0;0;0;0;0;1;3 a 3.5 millones;Otro;2;1;Comercio al por menor - retail
430;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;3.5 a 4 millones;B;2;1;Servicios
431;Bogota;Empresa confidencial;Proyectos;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Financiero
432;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;4 a 4.5 millones;Otro;2;1;Financiero
433;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;1;3 a 3.5 millones;Otro;2;1;Financiero
434;Medellin;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;0;0;0;0;0;1;1;2 a 2.5millones;Otro;2;1;Servicios
435;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;2;0;0;0;0;1;1;1 a 1.5millones;Otro;1;1;Vehículos y partes
436;Cali;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;3;0;0;0;0;1;1;2.5 a 3 millones;Otro;2;1;Servicios
437;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;1;2.5 a 3 millones;Otro;2;1;Vehículos y partes
438;Bucaramanga;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;0;0;0;0;0;0;1;1 a 1.5millones;Otro;1;1;Financiero
439;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Comercio al por menor - retail
440;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;2 a 2.5millones;Otro;2;1;Financiero
441;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;0;1;0;1;0;1;0;1.5 a 2millones;Otro;1;1;Financiero
442;Medellin;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;5;0;0;0;0;1;1;6 a 8 millones;Otro;3;1;Comercio al por menor - retail
443;Bogota;Empresa confidencial;Tecnologia;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1.5 a 2millones;Otro;1;1;Telecomunicaciones
444;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;1.5 a 2millones;Otro;1;1;Comercio al por menor - retail
445;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;1.5 a 2millones;Otro;1;1;Salud
446;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;0;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Educativo
447;Cali;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Financiero
448;Cali;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;2 a 2.5millones;Otro;2;1;Financiero
449;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;0;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Educativo
450;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;0;2.5 a 3 millones;Otro;2;1;Comercio al por menor - retail
451;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;1;1;1.5 a 2millones;Otro;1;1;Servicios
452;Bucaramanga;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Financiero
453;Medellin;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;1;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Financiero
454;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;1;2 a 2.5millones;Otro;2;1;Financiero
455;Medellin;Empresa confidencial;Calidad;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;2 a 2.5millones;Otro;2;1;Comercio al por menor - retail
456;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;1;1.5 a 2millones;Otro;1;1;Comercio al por menor - retail
457;Bucaramanga;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;1;0;0;0;0;1;1;Salario a convenir;Otro;0;1;Financiero
458;Bucaramanga;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Industrial
459;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;5;0;0;0;0;1;1;4.5 a 5.5 millones;Otro;2;1;Comercio al por menor - retail
460;Cali;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;1.5 a 2millones;Otro;1;1;Financiero
461;Cali;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Educativo
462;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;3;1;0;1;0;1;1;4.5 a 5.5 millones;Otro;2;1;Servicios
463;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Servicios
464;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;3 a 3.5 millones;Otro;2;1;Consultorías
465;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;5;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Educativo
466;Bogota;Empresa confidencial;Operaciones y procesos;2;Universitaria;0;0;0;0;5;0;0;1;0;0;1;3 a 3.5 millones;Otro;2;1;Consumo masivo
467;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;2;0;0;0;1;1;1;3.5 a 4 millones;Otro;2;1;Servicios
468;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;3;0;0;0;0;0;1;2 a 2.5millones;Otro;2;1;Construccion
