Numeración;Ciudad;Empresa Solicitante;Area;Nestudios;Formación;Especialización;Maestría;Doctorado;Posgrado;Experiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Sintervalo;Idiomas;Salario;Vacantes;Sector de la vacante
156;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;1;0;0;0;2 a 2.5millones;Otro;1;1;Financiero
157;Medellin;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;5;0;1;0;1;1;1;8 a 10 millones;Otro;3;1;Comercio al por menor - retail
158;Cali;Empresa confidencial;Operaciones y procesos;2;Universitaria;0;0;0;0;1;1;1;0;0;1;0;4 a 4.5 millones;Otro;2;1;Financiero
159;Medellin;Empresa confidencial;Calidad;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;2 a 2.5millones;Otro;1;1;Salud
160;Cali;EMA HOLDINGS SAS;Administrativa y financiera;1;Técnica;0;0;0;0;2;0;0;0;0;1;1;2.5 a 3 millones;Otro;1;1;Vehículos y partes
161;Bucaramanga;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;4;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Comercio al por menor - retail
162;Cali;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Financiero
163;Cali;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;0;2 a 2.5millones;Otro;1;1;Financiero
164;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;0;2 a 2.5millones;Otro;1;1;Comercio al por menor - retail
165;Bucaramanga;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;1;0;0;1;1;Salario a convenir;Otro;0;1;Servicios
166;Cali;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;0;1.5 a 2millones;Otro;1;1;Financiero
167;Bucaramanga;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;5;1;0;1;0;0;1;4.5 a 5.5 millones;Otro;2;1;Financiero
168;Bucaramanga;Fundacion de la Mujer;Administrativa y financiera;2;Universitaria;0;0;0;0;2;1;0;0;0;0;0;2 a 2.5millones;Otro;1;1;Financiero
169;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;1;0;0;1;5;0;0;0;0;1;1;Salario a convenir;Otro;0;1;Organizaciones No Gubernamentales
170;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;0;Salario a convenir;Otro;0;1;Organizaciones No Gubernamentales
171;Cali;Empresa confidencial;Emprendimiento;2;Universitaria;0;0;0;0;3;0;0;0;1;0;1;Salario a convenir;Otro;0;1;Organizaciones No Gubernamentales
172;Cali;Empresa confidencial;Emprendimiento;2;Universitaria;0;0;0;0;4;0;0;0;1;0;1;Salario a convenir;Otro;0;1;Organizaciones No Gubernamentales
173;Cali;Empresa confidencial;Administrativa y financiera;1;Técnica;0;0;0;0;2;0;0;0;0;1;0;Salario a convenir;Otro;0;1;Organizaciones No Gubernamentales
174;Cali;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;0;Salario a convenir;Otro;0;1;Organizaciones No Gubernamentales
175;Bucaramanga;Empresa confidencial;Compras e Inventarios;2;Universitaria;1;0;0;1;5;0;0;0;0;0;1;Salario a convenir;Otro;0;1;Industrial
