Item;Ciudad;Area;Nestudios;Estudios;Espec;Maestria;Doctorado;Posgrado;Experiencia;Aexperiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Ingles;Pingles;Sintervalos;Salario;Vacantes;Sector de la vacante
632;Cali;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;0;Otro;No;$1,5 a $2 millones;1;1;
633;Cali;Administrativa, Auditoria,  Financiera, Gerencia;1;Técnica;0;0;0;0;1;1;0;0;0;0;1;0;Otro;No;$1 a $1,5 millones;1;1;
634;Cali;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
635;Cali;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;1;Otro;No;$1,5 a $2 millones;1;1;
636;Cali;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;1;0;0;1;1;Otro;No;$1,5 a $2 millones;1;1;
637;Cali;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;0;Otro;No;$1,5 a $2 millones;1;1;
638;Cali;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;0;Otro;No;$2 a $2,5 millones;2;1;
639;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
640;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;$2,5 a $3 millones;2;1;
641;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;0;1;0;0;0;0;0;0;Otro;No;Menos de $1 millón;1;10;
642;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;1;1;0;0;0;0;0;1;Otro;No;Otro;0;3;
643;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;No;$3 a $3,5 millones;2;1;
644;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;0;0;0;1;3;2;0;0;0;0;0;1;Otro;No;$1 a $1,5 millones;1;2;
645;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;1;B2;Si;$3 a $3,5 millones;2;1;
646;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;0;Otro;No;Otro;0;1;
647;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;1;1;B1;Si;$2,5 a $3 millones;2;3;
648;Medellin;Docencia e I+D;3;Especialización;1;0;0;1;5;3;0;0;0;0;0;1;Otro;No;Otro;0;12;
649;Medellin;Docencia e I+D;3;Maestría;0;1;0;1;10;4;0;0;0;0;0;1;Otro;No;Otro;0;1;
650;Medellin;Comercial, ventas y servicio al cliente;3;Especialización;1;0;0;1;10;4;0;0;0;0;0;1;C1;Si; Más de $21 millones;3;1;
651;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;1;0;0;1;3;2;0;0;0;0;0;1;Otro;No;$4,5 a $5,5 millones;2;1;
652;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;1;1;Otro;No;$1,5 a $2 millones;1;5;
653;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;No;$2 a $2,5 millones;2;1;
654;Medellin;Operaciones y Procesos;2;Universitaria;0;0;0;0;2;2;1;0;0;0;0;1;Otro;No;$2,5 a $3 millones;2;1;
655;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;$2,5 a $3 millones;2;2;
656;Medellin;Operaciones y Procesos;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
657;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;$2,5 a $3 millones;2;1;
658;Medellin;otros;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;No;$2 a $2,5 millones;2;1;
